datetime,price_usd,hashrate
2009-05-11,0.0,5.91552208592593e-06
2009-05-12,0.0,6.31320424296296e-06
2009-05-13,0.0,5.71668100740741e-06
2009-05-14,0.0,6.61146586074074e-06
2009-05-15,0.0,7.10856855703704e-06
2009-05-16,0.0,5.66697073777778e-06
2009-05-17,0.0,6.2137837037037e-06
2009-05-18,0.0,6.16407343407407e-06
2009-05-19,0.0,4.97102696296296e-06
2009-05-20,0.0,5.16986804148148e-06
2009-05-21,0.0,4.42421399703704e-06
2009-05-22,0.0,4.12595237925926e-06
2009-05-23,0.0,3.47971887407407e-07
2009-05-24,0.0,4.77218588444444e-06
2009-05-25,0.0,5.56755019851852e-06
2009-05-26,0.0,5.61726046814815e-06
2009-05-27,0.0,6.2137837037037e-06
2009-05-28,0.0,5.12015777185185e-06
2009-05-29,0.0,5.31899885037037e-06
2009-05-30,0.0,5.12015777185185e-06
2009-05-31,0.0,5.8658118162963e-06
2009-06-01,0.0,3.62884968296296e-06
2009-06-02,0.0,4.42421399703704e-06
2009-06-03,0.0,4.8716064237037e-06
2009-06-04,0.0,1.93870051555556e-06
2009-06-05,0.0,2.83348536888889e-06
2009-06-06,0.0,1.19304647111111e-06
2009-06-07,0.0,1.98841078518519e-07
2009-06-08,0.0,3.57913941333333e-06
2009-06-09,0.0,4.67276534518518e-06
2009-06-10,0.0,4.12595237925926e-06
2009-06-11,0.0,4.62305507555556e-06
2009-06-12,0.0,4.5236345362963e-06
2009-06-13,0.0,3.67855995259259e-06
2009-06-14,0.0,3.47971887407407e-06
2009-06-15,0.0,4.07624210962963e-06
2009-06-16,0.0,3.62884968296296e-06
2009-06-17,0.0,3.82769076148148e-06
2009-06-18,0.0,4.02653184e-06
2009-06-19,0.0,4.32479345777778e-06
2009-06-20,0.0,4.17566264888889e-06
2009-06-21,0.0,3.72827022222222e-06
2009-06-22,0.0,3.97682157037037e-06
2009-06-23,0.0,3.77798049185185e-06
2009-06-24,0.0,4.22537291851852e-06
2009-06-25,0.0,3.67855995259259e-06
2009-06-26,0.0,4.42421399703704e-06
2009-06-27,0.0,4.22537291851852e-06
2009-06-28,0.0,2.53522375111111e-06
2009-06-29,0.0,3.77798049185185e-06
